arm,baseline,order,seed,domain,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
CONV_CIST_L,F_CONV,O1,61,RIM_ONE_r3,40,-0.017980667254392686,-0.2035664722384748,-0.11702032776937178,-0.03924737771992401,-0.014475137039979075,0.024953188562179013,0.050736646289062236,0.07305334041749334,7,21
CONV_CIST_L,F_CONV,O1,61,Drishti_GS,25,0.029691957050343335,-0.16273468528094925,-0.07996614895068552,-0.010183121310809118,0.008393856918506137,0.07039768944917413,0.2076577627623308,0.2469381918617921,3,7
CONV_CIST_L,F_CONV,O1,62,RIM_ONE_r3,40,-0.014360266911531434,-0.2968521957891331,-0.21106353728618385,-0.10473711634581048,0.022648848309157615,0.04956933888236986,0.12544506836837518,0.1860749239762488,13,15
CONV_CIST_L,F_CONV,O1,62,Drishti_GS,25,-0.02632336549095947,-0.3662123236850042,-0.2431116282032973,-0.02113987578030707,-0.0025701552597378052,0.04128646407942482,0.06315341822162558,0.06705515862638722,6,7
CONV_CIST_L,F_CONV,O1,63,RIM_ONE_r3,40,0.0219714320756132,-0.2004266915118097,-0.1191673855934618,-0.029843840815294162,0.026811024705418934,0.06316936528907213,0.12877213080687286,0.24419407516629596,7,11
CONV_CIST_L,F_CONV,O1,63,Drishti_GS,25,0.008947031944221182,-0.09704591243224903,-0.08442670539777689,-0.020301580679713993,-0.003320691925052577,0.054093561691205605,0.08583880384201598,0.1297243278706356,4,10
CONV_CIST_L,F_CONV,O2,61,RIM_ONE_r3,40,-0.0028273332246693617,-0.10944694969543001,-0.09719308407280175,-0.04285163833225811,-0.007868818148862644,0.020981838299842376,0.07255640373011761,0.2820013723947459,8,20
CONV_CIST_L,F_CONV,O2,61,Drishti_GS,25,-0.08521651655548164,-0.26213933126209,-0.21467349741120237,-0.12079685858067357,-0.07940381765191282,-0.03373996911351132,0.0479979967744913,0.09918433017150702,18,21
CONV_CIST_L,F_CONV,O2,62,RIM_ONE_r3,40,0.015532817745182188,-0.11180441566887189,-0.05815850390608858,-0.013636298832757299,0.003709052214844244,0.0590013541268906,0.11655167427818641,0.12634365703299455,4,13
CONV_CIST_L,F_CONV,O2,62,Drishti_GS,25,0.022267214888061545,-0.09079738391223308,-0.0583015868880336,-0.025361863726072187,0.017964861827258927,0.05422828682866876,0.11715627996771243,0.13204502437027854,2,10
CONV_CIST_L,F_CONV,O2,63,RIM_ONE_r3,40,0.0007329771039461294,-0.28554762588475513,-0.12892627179809704,-0.06843036112485418,0.0038343060490645398,0.03600604795939666,0.18876846784671208,0.2471203303257955,11,16
CONV_CIST_L,F_CONV,O2,63,Drishti_GS,25,-0.029061153086693374,-0.30704936954043716,-0.20940148517116186,-0.05690786751546767,-0.01808285335478238,0.031264739424932575,0.11430333158849869,0.1933076037201149,9,15
CONV_CIST_L,F_FULL,O1,61,RIM_ONE_r3,40,0.009628101764593253,-0.1498512796450877,-0.06560010637968862,-0.026839489199340594,-0.0007273626122317745,0.040077030366921146,0.10059481949271382,0.2770350120461219,4,16
CONV_CIST_L,F_FULL,O1,61,Drishti_GS,25,0.028473691303387758,-0.23298223397158613,-0.045787552134828186,-0.00987853105988834,0.00870948605667643,0.06252304762320993,0.1974155274214101,0.2133195906050489,1,6
CONV_CIST_L,F_FULL,O1,62,RIM_ONE_r3,40,0.02186162805751924,-0.35501208676181184,-0.1665176213775885,-0.00647873287471383,0.042499824451378315,0.09030913732134482,0.16117093007659186,0.2645828849194537,8,10
CONV_CIST_L,F_FULL,O1,62,Drishti_GS,25,-0.01835643125554156,-0.3749448201191693,-0.2567529675964222,-0.04529091126609519,-0.000167492476998099,0.06101472353315485,0.0995933944884372,0.11260715252461484,6,9
CONV_CIST_L,F_FULL,O1,63,RIM_ONE_r3,40,-0.011201879523073877,-0.3003876912219853,-0.2224152306561538,-0.06664160726081271,-0.022138458633053304,0.04230084959821358,0.1782698863754255,0.4248034766552361,14,22
CONV_CIST_L,F_FULL,O1,63,Drishti_GS,25,0.009093707189524984,-0.12038120878849179,-0.08926753000631908,-0.05176964682835661,0.0026426910181954755,0.038308929706937,0.18953664208687349,0.32322813088867,8,10
CONV_CIST_L,F_FULL,O2,61,RIM_ONE_r3,40,-0.0070115271777254325,-0.11065643247528734,-0.08727475142401815,-0.040077106173575044,-0.007283878136992994,0.024521387575338338,0.0694256150510429,0.17891783056852018,9,19
CONV_CIST_L,F_FULL,O2,61,Drishti_GS,25,-0.08616383618487329,-0.28427994083373975,-0.24326129722441286,-0.12796430968298267,-0.08015443044702897,-0.05060828034555631,0.03609961869803105,0.17075699481509382,19,22
CONV_CIST_L,F_FULL,O2,62,RIM_ONE_r3,40,0.02569553345132164,-0.15173520300758414,-0.04813506847936608,-0.0072346869197570385,0.02235023988281315,0.058437511641518586,0.10861932309868264,0.2149090185138064,2,10
CONV_CIST_L,F_FULL,O2,62,Drishti_GS,25,0.03094241761746276,-0.09127164195884385,-0.05668291110047256,-0.0024121857612134923,0.026840108371072424,0.05292122649219588,0.13990318023922518,0.16652233275910155,2,5
CONV_CIST_L,F_FULL,O2,63,RIM_ONE_r3,40,-0.0025428220474839405,-0.12791282557587025,-0.10566249263962359,-0.025030908230723597,0.0008159338431499852,0.0217265230288273,0.055472556797809026,0.14398557951765745,4,15
CONV_CIST_L,F_FULL,O2,63,Drishti_GS,25,0.003764668216800474,-0.12727814983693525,-0.0974448042527566,-0.04905501812170243,0.006214684352101929,0.03240425568512251,0.12661442757981117,0.19006566426639862,6,11
GN_CIST_L,GN_L,O1,61,RIM_ONE_r3,40,-0.008964649765907032,-0.17472876740059273,-0.06012597681233511,-0.035029480743497515,-0.0050167380642888795,0.011601346457624298,0.06097736260437447,0.09037149616412085,6,17
GN_CIST_L,GN_L,O1,61,Drishti_GS,25,-0.03025037313607517,-0.15859107560319785,-0.148094767438112,-0.08495367108179508,-0.010172958894799855,0.010269639702207956,0.0640200344004053,0.08362633598103542,9,13
